name,desc,keywords
"Molecular Engines Laboratories","Developer of a new generation of drugs against cancer. The company\'s research is focused on the analysis and understanding of the molecular mechanism which makes it possible for a cancer cell to quit its malignant state and to revert to a suppressed-malignant phenotype.","""cancer drug"" ""cancer cell analysis"" ""cancer research"""
"Lana Interim","Operator of an employment agency. The company matches candidates with job opportunities in manufacturing, construction, logistics, medical and other industries. The company serves the employer sector by providing a pool of available candidates for hire.","""employment agency"" ""HR Service"" ""employment service"""
"Moki.TV","Operator of an online video directory. The company provides an e-commerce platform for the television and film industries.","""TV guide"" movies ""video directory"""
"e-Xstream engineering","Provider of software and engineering services. The company develops a non-linear multi-scale modelling software platform DIGIMAT and also offers its consultancy service for multi-scale modelling of materials and composite structures. The company was spun out of Université catholique de Louvain.","""modelling software"" ""engineering service"" ""composite materials"""
"Guardium","Developer of database security software. The company develops software for preventing information leaks from the data center and ensuring the integrity of enterprise data.","""database security"" ""enterprise data integration"" ""information security"""
"Westwave Communications","Developer of software solutions. The company develops software solutions that enable Local Exchange Carriers (LECs), hardware vendors, and Independent Software Vendors (ISVs) to implement converged services quickly, at the lowest-cost entry point in the network, and with minimal operational impact. The company provides carriers with a smooth migration path and an adaptive, responsive network that speeds time to market and improves the bottom line.","""electronic switches"" ""telecommunications network solutions"" ""hardware vendors"" ""virtual switching technology""\n""media gateway"" ""media servers"""
"Gynecare","Developer of medical devices for the treatment of uterine disorders. The company offers devices like ThermaChoice Uterine Balloon Therapy system for treatment of women who experience dysfunctional uterine bleeding. It also offers VersaPoint Bipolar Electrosurgery system to treat women diagnosed with benign uterine pathologies including fibroids, polyps, adhesions and divided septa.","""uterine disorder"" ""uterine pathology"" ""dysfunctional uterine bleeding"" uterine fibroid uterus"
"T_O_P Oberflächen","Provider of paint products. The company provides scratch-resistant surface coating of thermally sensitive, optically transparent plastics (PLEXIGLAS), of plastic materials in general and of non-plastic materials.","""paint product"" ""scratch-resistant"" ""surface coating"" ""Specialty Chemical"""
"Theralogix","Provider of health benefits of certain nutrients to their patients. The company develop nutritional supplements which they could recommend to their patients.","""nutritional supplement"" ""health care"" ""reproductive health"""
"Exclara","Developer of digital power management platforms for solid state lighting solutions. The company offers small LED driver solutions for volume LED applications.","""digital power management"" ""lighting solution"" ""led driver"" ""led application"""
"Sagres Discovery","Provider of oncogene discovery, individualized cancer profiling, drug target validation and therapeutic development.","""oncogene discovery"" ""drug target validation"" ""drug therapeutic"" ""cancer profiling"""
"Tipp24","Owner of lottery companies in the U.K. and Spain. The company, through its subsidiaries, enables participation in lottery-based games via the Internet.","""online gambling"" ""lottery service"""
"FASgen","Developer of therapeutic drugs. The company designed and synthesized many compounds that selectively inhibit fatty acid biosynthesis. It offers cancer, infectious diseases, multiple drug resistant and latent tuberculosis and obesity and diabetes therapeutics.","""therapeutic drugs"" ""diabetes tool"" ""latent tuberculosis"""
"Viddyou","Provider of custom-built video service that allows users to archive and express their life in short-form videos.","""video publishing"" ""video sharing"" ""video hosting solution"" ""videoblogging"""
"Sqipp","Developer of a location based mobile ordering application from restaurants. The company enables restaurants to integrate a mobile ordering platform that makes orders and restaurant operations while allowing users to order and pay at participating restaurants using a smartphone.","""ordering application"" ""participating restaurant"" ""mobile ordering platform"""
"Covanta Holding","Manufacturer of infrastructure for the conversion of waste to energy, as well as other waste disposal and renewable energy production businesses. The company provides communities with an environmentally sound solution to their solid waste disposal needs by using that municipal solid waste to generate clean and renewable energy.","""Renewable energy"" ""waste to energy""""clean energy""""Eco-friendly electricity"""
"Gnodal","Developer of a technology that improves performance and power in data centers. The company\'s technology aims to significantly reduce power usage and running costs.","""systems design"" ""data technology"" ""data centre"""
"Qs Semiconductor Australia","Developer of disruptive non-volatile random access memory. The company offers a computer non-volatile memory of high density.","""random access memory""RAM""non-volatile memory"""
"Gravitant","Provider of cloud computing services. The company develops software designed to enable the deployment of virtual data centers and business applications by aggregating services from infrastructure-as-a-service providers.","""cloud computing"" ""virtual data center"" ""cloud brokerage"" ""cloud marketplace"" ""predictive analytic"""
"NeoRad","Developer of medical products in the filed of radiology. The company develops, manufactures and sells instruments and devices, mainly in the field of radiology and interventional procedures.","""interventional procedures"" ""non-vascular interventions"" ""interventional oncology"" radiology"
"Racing-Live","Operator of a motor sports website. The company\'s website covers live updates, news, and information of formula 1, rally, moto GP and superbike, off road rallies, sports-cars and kart racing.","motor ""formula 1"" ""moto GP"" rally ""kart racing"""
"Loopport","Provider of an online music sample library. The company provides a library of every genre of computer based music to musicians, producers and DJ\'s.","""online music"" ""music library"""
"Ascotfirst.com","Owner and operator of an online property portal. The company offers the facility to apply for online quotes, mortgages, conveyancing or removals.","""online portal"" ""property portal"" ""real estate website"""
"MarketHome","Provider of e-mail campaign management services. The company provides traditional retailers with direct marketing software to enhance their customer relations.","""e-mail campaign"" ""e-mail marketing"" ""direct marketing application"""
"Somnus Medical Technologies","Developer and manufacturer of medical devices. The company\'s medical devices utilize proprietary radiofrequency technology for the management and treatment of upper airway disorders.","""medical devices"""
"Digitalsmiths","Owner and Operator of a video indexing and digital content publishing technology company. The company\'s computer-vision based video indexing search and interpretation algorithms empowers content owners and publishers to monetize their digital video content and advertisers to automatically target their advertisements.","""video indexing"" ""digital publishing"" ""Multimedia & Design Software"""
"vVault","Provider of mobile productivity applications and software infrastructure. The company\'s technology platform provides mobile professionals with access to email attachments, native files and paper documents from virtually any wireless device or wired PC.","""mobile productivity application"" ""software infrastructure"" ""email attachments"""
"Spectralus","Developer of solid-state green laser platform. The company\'s product is suitable for integration into mobile projection devices.","laser ""green laser"""
"Bargain Network","Provider of relevant product pricing information. The company provides its members with day to day reasonable and affordable pricing information on significant purchases such as homes, vehicles and consumer products.","""product price"" affordable ""pricing information"""
"LogLogic","Developer of log data management and security event management solutions for the business operations of enterprises and mid-market companies in the United States and internationally. The company’s LX-ST and MX appliances enable customers to log data from firewalls, routers, servers, applications, operating systems, and devices to be automatically collected, stored, reported, and alerted for compliance, risk mitigation, security, performance management, virtualization, and user monitoring. Its solutions also include LogLogic MX Virtual that provides enterprise-grade IT data collection, search, and storage solutions, as well as customizable alerts and reports covering identity and access management, user activity, network changes, security, business continuity, and IT performance; Enterprise Virtual Appliance, a software-based appliance that delivers on-demand and scheduled network reports for cloud deployments and virtualized data centers; and LogLogic Compliance Manager, which provides users with an executive view into an enterprise\'s compliance posture. It also provides customer support, consultation, implementation, training, and integration services. Its open log management and database activity monitoring solutions provide tools for customers to monitor activities that occur in networks, applications, databases, and servers. It serves telecommunications, technology, pharmaceutical, retail, petroleum, commercial banks, aerospace and defense, insurance, and healthcare companies.","""log data management"" ""security event management"" ""risk mitigation"" ""performance management"" ""data collection"" ""storage solution"" ""activity monitoring"""
"Geneart","Manufacturer of integrated system solutions for DNA engineering and processing. The company provides software and a robotics platform enabling DNA synthesis for the fermentation of recombinant proteins, combinatorial biology and vaccines.","DNA ""synthetic genes"" fermentation ""biotechnology tools"""
"Toroleo","Provider of a price and product comparison platform for the automotive sector. The company allows users to compare prices for products such as vehicle parts, accessories, tires, rims and car insurances from multiple retailers. It also provides comparison services for auto insurance and car-rental services. Its platform also functions as a marketing channel for automotive-related businesses.","""product comparison"" ""price comparison"" ""vehicle car"" ""rental car"" ""car insurance"""
"Tomaisins International","Developer of seeds for tomato raisins. The company develops seeds for the use of the dried tomatoes industry.","seeds ""tomato raisins"" ""cherry tomatoes"" ""dried tomatoes"""
"GazeHawk","Provider of eye tracking services using ordinary Webcams. The company offers an eye tracking technology that allows Web designers and publishers to see how visitors view their Webpage, advertisement or image.","""eye tracking service"" ""ordinary webcam"" ""eye tracking technology"" ""web designer"""
"Dinamundo","Provider of a social check in service that rewards users who check in to other people with jokes and comedy.","""social content"" ""information application"""
"Anchovi Labs","Developer of software to help people organize, browse and share their personal photo collection. The company provides software for automatically tagging and organizing images and video based on visual content.","""online photo collection"" ""online video content"" ""visual content"""
"Information Development Consultants","Developer of a fund accounting software for government and not-for-profit organizations. The company\'s web based products can be tailored to fit specific needs of IT, finance and elected officials. The company provides system integration services, application software products, training and advisement specially for local governments and agencies.","""accounting software"" ""web based products"""
"XenSource","Developer of enterprise grade virtualization solutions. The company offers Xen 3.0, an open source hyper visor virtualization technology that provides features required for servers deployed in enterprise; Xen Optimiser, a multi-server virtualization infrastructure software management solution; and Xen Support, a subscription-based support for Xen and XenOptimizer. It also provides value-added enterprise solutions, including enterprise grade virtualization infrastructure solutions.","virtualization ""software mangement"" ""server utilization"""
"AER Sustainable Energy","Developer of enzyme-based products for bio-fuel production from algae. The company offers enzyme-based products used in the extraction process for manufacturing bio-based oils, proteins and other valuable products from algae biomass.","bio-fuel ""algae biomass"" ""enzyme-based product"" phytoplankton seaweed enzymatic"
"PhotoRocket","Provider of photo sharing services. The company enables photo sharing between family, friends, coworkers and other groups.","""photo sharing"" ""social network"""
"RapidMoney","Provider of online financial services. The company provides an online platform for multiple transfer services, including money, bank wire, international and Western Union. The company also is a provider of consumer-loan services.","""consumer finance"" ""money transfer"" lending"
"Incomparable Things","Developer of a mobile application for sharing adventure experiences. The company provides a mobile social platform for people to collect and share stories of their adventure, by weaving all the media generated while they are having their adventure - including photos, location data and tweets - into a single narrative.","""B2C service"" ""media service"" ""mobile social platform"""
"Ilypsa","Developer of renal care pharmaceutical products. The company develops non-absorbed polymeric phosphate and potassium binder compounds to treat chronic kidney diseases.","""renal care"" ""kidney disease treatment"" ""healthcare industry"""
"Netgame Factory","Provider of systems to play games and lotteries using mobile phones and telephones. The company offers systems and services that handles transactions in an automated and secure way. It also develops licenses and operates mobile gaming products for lotteries and gaming companies.","""mobile games"" ""mobile lottery technology"" ""mobile lottery"" ""mobile telephony"" ""mobile gaming solutions"""
"Graffiti","Provider of media services in the form of external marking and the digital printing. The company provides media printing services which is eco-friendly in nature.","""external marking"" ""digital printing"" ""media printing"""
"IBM Daksh Business Process Services","Provider of business process outsourcing services. The company offers a range of customer care services including voice, email response, real-time chat, knowledge management, eCRM architecture and other value added services to Fortune 500 companies.","BPO ""business process outsourcing"" ""customer care"" ""voice process"""
"CAVI","Provider of an online in-video purchase option. The company enables content-owners and publishers to integrate as an e-commerce shop into the online videos, without disturbing the experience of the user.","synergies ""in-video shopping"" ""commercial service"" ""e-commerce integration"""
"NewRiver","Provider of innovative technology solutions that simplify investor disclosure, transparency and cost savings to the delivery of fund data and investor communications. The company pioneered the first electronic prospectus, and guarantee its data to be ""compliance grade"" which allows customers to reduce risk, lower compliance costs and increase revenues.","compliance ""summary prospectus"" ""share class analysis"""
"NovoSource","Manufacturer of orthopedic implants and instruments. The company manufactures and supplies private label orthopedic implants to a variety of healthcare providers, for joint replacement and reconstruction for knees and hips.","""orthopedic implant"" ""joint replacement"" ""healthcare provider"""
"Corventis","Developer of medical technologies for curing cardiovascular diseases. The company\'s core product is a non-invasive monitor designed for measing different aspects of the heart’s function.","""medical technology"" cardiovascular healthcare"
"Florida Healthcare Analytics","Developer of healthcare software. The company provides healthcare-analytics software. It is a mobile application platform designed to improve the patient experience during a clinical trial.","""healthcare analytics"" ""analytics software"" ""healthcare software"""
"Roche NimbleGen","Manufacturer and marketer of a proprietary suite of microarrays, related products and services for DNA sequencing. The company is focused on research activities and manufacturing target-enrichment probe pools for DNA sequencing. The company\'s Maskless Array Synthesis (MAS) technology permits the company to develop and manufacture custom high density, highly reproducible DNA arrays, which improve the quality and data yield of DNA chips.","""DNA chip"" ""DNA array"" ""reproducible DNA"" microarray ""DNA sequencing"""
"Qronus Interactive Israel","Provider of automated system testing software products. The company provides automated system testing tools for complex software and hardware configurations with embedded processors. It engages in the research, development, manufacturing and marketing of automated software quality products for non-standard platforms, embedded systems and real time computer systems. The company was spun out of Mercury Interactive.","""software testing"" ""testing tools"" ""testing solution"""
"SugarSync","Provider of cloud file sharing, online Backup & file sync service. The company provides services such as data sync, file sharing and online backup system through its business software for busy professionals and digitally-connected consumers.","""business service"" ""online backup"" ""folder sharing"""
"Sportamore","Operator of an e-Commerce company involved in selling sports related equipment. The company provides shoes, clothes, bags and apparel from well known brands such as Nike, Adidas, Puma and Converse.","""sports equipment"" Nike Adidas apparel"
"TherMark","Developer of laser marking technology and materials. The company has a patented laser marking process which produces permanent marks on a variety of surfaces including metals, ceramics, glass, porcelain, nylon, marble, granite, stone and some plastics. The technology is increasingly being used as a solution for component tracking, quality control and anticounterfeiting in the automotive, aerospace and perfume and cosmetics industries.","""laser marking equipment"" ""fuse marking"" ""laser device"" ""electrical system"""
"Tinmar Holdings","Operator of a holding company. The company owns and operates endoscopy and surgical centers in the United States.","""parent company"" ""surgical centers"" ""endoscopy center"""
"FabKids","Provider of a children\'s brand and personalized e-commerce service. The company provides parents with ongoing style recommendations for their child.","""kid clothing"" ""children clothing"" ""subscription ecommerce"""
"Communication Services","Operator of a wireless network service provider. The company provides communication infrastructure for cellular, private radio, and other wireless customers.","""wireless network"" ""communication infrastructure"" ""wireless service peovider"""
"Whereonearth","Developer of localization technologies. The company offers online location-based services, that enables users to search for local goods and services without entering a zip code or post code.","""localization technology"" "" location-based services"" "" location-based app"" geocoding"
"Ocean Riser Systems","Developer of drilling methods. The company manufactures drilling technologies and supplies drilling equipment for pressure management in subsea drilling and well operations.","""drilling equipment"" ""business equipment"" ""managed pressure drilling technology"""
"Exalead","Provider of a search software for business and the web. The company provides a unified search technology platform for desktop, intranet or web search which provides users with a single access point to information, regardless of format or location.","data-center ""information access platform"" scalability"
"Reliant Pharmaceuticals","Developer of cardiovascular therapies. The company acquires and develops branded pharmaceutical products, as well as potential pharmaceutical products in mid- to late-stage clinical development for drug delivery technologies and formulation advancements.","cardiovascular ""cardiovascular therapies"""
"TRB International","Manufacturer of men\'s luxury swimwear, accessories and resort wear. The company designs and distributes high end swimwear and accessories.","swimwear ""pants and shorts"" cap"
"Zinwave","Supplier of in-building wireless coverage solutions. The company provides wideband active Distributed Antenna Systems (DAS) for in-building wireless coverage.","""wireless technology solution"" ""distributed antenna system"" ""omnidirectional antenna"""
"Vantia","Developer of small molecule drugs. The company develops drugs for the treatment of nocturia, dysmenorrhoea, respiratory disorders, inflammation, oncological and fibrotic diseases.","""drug development"" ""nocturia treatment"" ""fibrotic disease treatment"""
"Uni-Power Guaranty Company","Provider of financial guarantees. The company provides financial services to Chinese small and medium enterprises.","""SMEs financing"" ""loan guarantee"" ""loan financing"" ""financial guarantee"" ""bridge financing"""
"Compring","Provider of a smart search platform for the flash sales and daily deals industry. The company\'s website displays offers on various products and alerts its customers about new deals as they are published online.","""discount voucher"" ""product deal"" ""online deal"" discount ""notification email"""
"RAScom","Provider of remote access servers for organizations that need to deploy network access to telecommuters, contractors, remote office workers and small branch offices. The company is a data communications equipment vendor focused on delivering open systems remote access servers.","""communications equipment"" ""telecom vendor"""
"alma bioinformatics","Developer of software for information retrieval and analysis of text biomedical data. The company specializes in the research and development of biomedical software. It\'s mission is to provide the life science community with innovative information technologies that enable the search, management and relation of the knowledge available in different sources, facilitating its analysis and comprehension.","""information retrieval"" ""biomedical data"" ""text mining"""
"StreamTheWorld","Provider of media streaming technology platform for radio and television broadcasters. The company\'s streaming delivery network and media streaming technology allows broadcasters to develop custom features and record online revenues.","""media stream"" ""streaming platform"" ""streaming delivery network"""
"Semprus BioSciences","Developer of implantable and permanently antimicrobial coating technology for the medical device market. The company\'s application technology allows coating of devices of virtually various sizes, shapes, or materials.","""antimicrobial coating"" ""medical device market"""
"Balanced","Provider of a payment system for marketplaces. The company allows marketplaces to charge cards, escrow funds and collect their marketplace fees.","""payment system"" ""online payment"" ""escrow fund"" ""marketplace fee"""
"Intek Technologies","Developer of a desktop multimedia conferencing software. The company designs software development tools and programs for server applications development.","""system management"" ""server applications"" ""desktop multimedia conferencing"" multimedia"
"Servicesoft","Developer of a customer support software. The company offers an online software that enables its customers to obtain requested information facilitating e-commerce services, processing transactions and resolving problems within customer support.","""internet customer service"" ""customer service solution"" ""customer service"""
"Eventioz","Provider of online ticket sales and services. The company offers an online ticket platform for clients to promote and market events.","""event marketing"" ""event promotion"" ""ticket sales"" ""event ticketing"" ""ticket services"" ""ticket marketing"" tickets"
"AppFog","Provider of a web based application platform. The company provides a platform as a service that allows to deploy, manage and scale applications written in all languages, with all frameworks, across public, private and hybrid clouds.","""web application deployment"" ""application scaling"" ""workload portability"""
"Camilion Solutions","Provider of product development and management services for insurance and other financial services organizations. The company\'s software creates enterprise product agility with strategic initiatives such as product lifecycle management, product bundling and product rationalization.","""product development"" ""management service"" ""product lifecycle management"""
"Krillion","Operator of a shopping search engine. The company offers audio and video accessories, such as A/V mounts and brackets, headphones, remote controls, and satellite radio accessories; cameras, such as camcorders, digital cameras, and digital picture frames; car audio and electronics, such as car amplifiers, car audio and video accessories, car CD changers, car speakers and subwoofers, in dash car audio, and radio scanners; and handheld electronics, including GPS navigation systems.","""online shopping"" ""consumer infrastructure"" ""navigation system"" ""video accessory"""
"Afferent Corporation","Developer of medical devices to treat chronic neurological dysfunction. The company\'s lead technology enhances the function of mechanoreceptor cells involved in sensory perception as a means of restoring brain function following stroke, improving elderly balance and addressing complications resulting from diabetic neuropathy.","""neurological dysfunction"" ""therapy devices"" ""noninvasive devices"" neuromodulation"
"Fincentric","Provider of retail banking and customer value management software to the financial services industry. The company\'s technology and services solutions help financial institutions automate key business processes. It serves customers in North America, Latin and Central America, and Europe.","""customer value management"" ""retail banking"" ""financial service"""
"Cybird","Provider of mobile internet services. The company provides mobile internet services geared towards businesses and individual use. Its main activities are to develop mobile sites, mobile marketing, advertising, and mobile commerce.","""mobile internet"" ""internet services"" ""mobile marketing"" ""mobile commerce"""
"Xsira Pharmaceuticals","Developer of drugs that regulate G protein-coupled receptors. The Company produces patented platform technology for deorphanization and drug discovery of G protein-coupled receptors using a single universal fluorescent assay.","""healthcare services"""
"Movetis","Developer of drugs for the treatment of diseases in the gastrointestinal (GI) area. The company\'s products address GI disorders, such as severe chronic constipation, ascites, paediatric reflux, as well as severe forms of GI motility disorders, including refractory gastro-oesophageal reflux disease. Its lead product, Resolor, is used for the symptomatic treatment of chronic constipation in women.","""gastrointestinal treatment"" ""GI disorder"" ""paediatric reflux"" ascite gastrointestinal  constipation ""paediatric reflux"" ""GI motility"" ""refractory gastro-oesophageal reflux"""
"Beeem","Developer of mobile applications for picture sharing. The application developed by company allows users to caption the pictures. It\'s application lets users write over photos and turn them into stories.","""mobile application"" ""online picture sharing"" ""picture captioning"" ""photo application"" ""photo captioning"""
"Rasiris","Developer of photodynamic therapy (PDT) and the treatments of breast cancer and age-related macular degeneration. The company received financial support from Pacific Horizon Ventures to validate the proof of concept in an animal model.","""macular degeneration"" ""breast cancer"" ""photodynamic therapy"""
"NomadIQ","Provider of location based applications services for handheld devices. The company offers a wireless service that enables subscribers to access and navigate the Internet, send and receive email messages, and conduct e-commerce transactions over handheld mobile devices.","""location based application"" ""site information"" ""application development"""
"true[x] media","Operator of an online advertising network. The company connects people with brands to earn charitable donations using their social media properties. It enables members to complete and share branded activities to earn points, which translate into positive social impact via micro-donations.","""online advertising network"" ""marketing platform"" ""premium content"""
"Accord Biosciences","Developer of practical sensor systems to measure nitric oxide and its carriers in blood for clinical and research applications. The company utilizes its proprietary membrane, sensing and stabilization technologies to release nitric oxide from blood’s natural reserve in plasma and reproducibly detect it with practical, cost-effective sensing systems. Nitric oxide serves critical bodily functions, including proper blood vessel function and protection against infections, thereby servings as a powerful platform molecule for Accord\'s diagnostic and research product pipelines.","""sensor system"" ""blood plasma"" ""blood vessel"" ""pulmonary arterial hypertension"" ""nitric oxide"""
"SteelEye Technology","Provider of cost-effective enterprise IT reliability solutions for business continuity. The company\'s application failover, data replication, and disaster recovery software products are easy to deploy and operate, and enable enterprises of all sizes to ensure availability of business-critical applications, servers and data.","""Business Continuity"" ""High Availability"" ""Data Replication"" ""Linux High Availability"""
"iXAir","Provider of private jet travel. The company provides private jet travel for business, as well as guidance before purchase, financing solutions and leasing offers and contract negotiation.","""jet travel"" ""private jet"" ""airplane"""
"Paymins","Provider of social commerce platform. The company enables content creators to sell directly to fans via social media channels and fans to purchase easily using the credit on their mobile phone.","""social media"" ""wireless service"" ""electronic commerce"""
"Aubay","Provider of information technology and business intelligence services. The company provides services to share and return information over multiple channels such as the Internet, call centers, SMS, as well as client server, departmental systems or more specialized areas such as Desktop Publishing. The company also provide services on infrastructure systems and networks to ensure the definition of architectures, systems administration, project integration and monitoring of operations.","""business intelligence service"" ""information management"" ""multiple channel"" ""departmental system"" ""system administration"""
"Pixel Qi","Developer and producer of laptop screens. The company offers epaper diagonal screens for netbooks and ebook readers.","""laptop screen"" ""epaper diagonal screen"" ""computer part"""
"Extrabux","Operator of a comparison shopping website. The company enables consumers to compare prices,find coupons, and earn cash back on their online purchases.","""price comparison"" ""cash back"" coupons"
"Chronogen","Developer of small-molecule drugs to treat oxidative stress and lipid disorders in age-related diseases. The company develops human therapeutics to treat age-dependent diseases, with an initial focus on cardiovascular disorders and cancer.","""small-molecule drugs"" ""human therapeutics"" ""pharmaceutical industry"""
"Snaptracs","Developer of pet GPS tracking systems for pet owners. The company offers a GPS pet tracking device that uses GPS and wireless technology to locate and track the activities of pets from desktops or mobile devices.","""GPS tracking system"" ""wireless technology"" ""pet tracker"""
"Calista Technologies","Provider of desktop computing technology services. The company offers Calista Virtual Desktop, a platform that virtualizes the Windows desktop supporting the Windows XP and Windows Vista platforms.","""desktop virtualization solution"" ""Virtual Desktop"" ""desktop supporting"""
"Singular ID","Provider of tagging services to combat counterfeiting and forgeries. The company provides an integrated anti-counterfeiting technology called Enxure, an enterprise-brand security system that uses magnetic tagging. It also offers a consultancy service for adopting nanotechnology, anti-counterfeiting and brand-protection instruments. The company was spun out of IMRE.","""barcode labels"" ""database integration"" scanners authentication anti-counterfeiting"
"Attassa","Provider of a framework and a software development kit (SDK) that allows the rich integration of existing Web applications into Microsoft Windows and Outlook.","""rich integration"" ""Web applications"" ""Mail application"" ""Webmail server"""
"Augure","Developer of influencer marketing software. The company develops public relations and influencer marketing software which assists companies and their agencies to detect their key influencers, build awareness, engage stakeholders and collect real time analytical metrics of their reputational impact.","""reputation management"" ""real time metric"" ""marketing software"""
"Malcovery Security","Developer of a cloud based actionable cyber security intelligence services. The company develops and delivers cloud based actionable cyber security intelligence and forensic analysis through software and services for corporations and government organizations to target cyber criminals and their activities.","""cyber security"" ""intelligence service"" ""forensic analysis"""
"Spring Partners","Provider of web and mobile phone applications that provide coupons for discounts at retailers. The company provides Springpad, which enables consumers to save and share products and services on web and mobile phones as well as EngageProactively, that communicates with consumers and provides branded information, offers and deals.","""media service"" ""mobile phone applications"" ""Media and Information"""
"Alkaline Water Company","Provider of alkaline water where minerals are infused in the water, along with a 8.4 pH level. The company provides alkaline water through a consumer oriented bulk delivery system aimed at removing expensive small bottles from the distribution supply chain.","""alkaline water"" ""mineral water"" ""consumer product"""
"Expand Networks","Provider of wide area network optimization and application accelerators to enterprises and public sector clients. The company offers a virtual WAN accelerator appliance, a central management software for accelerators and an accelerator operating system.","""wide area network optimization"" ""application accelerators"" ""management software"""
"Context Media Technologies","Provider of social news. The company provides news mainly from the social networks.","""social news reader"" ""online social news"" ""social news summary"" ""content discovery"" ""content publishing"""
"Cellumen","Provider of cell-based drug discovery, early safety assessment, and discovery toxicology products and solutions for the biopharmaceutical researchers to create various efficacious, safe, and patient-targeted drugs.","""patent targeted drug"" ""drug discovery"" ""discovery toxicology product"" ""early safety assessment"""
"AbeBooks","Provider of an online marketplace for books. The company offers collections of new as well as used and out-of-print books on the Internet. It provides book sellers with a venue for their products.","""online marketplace"" ""out-of-print"" ""Internet Retail"" ""book sales"""
"Diktamen","Developer of workflow management and resource planning software. The company offers all-in-one dictation and transcription enterprise resource planning system with workflow management and resource planning features for transcription companies and authors.","""workflow management"" ""resource planning"" transcription"
"Syntensia","Provider of network security services. The company provides security on-demand solutions on subscription basis.","""network security"" ""security services"" ""subscription basis"""
"Sipcall.com","Developer of innovative Session Initiation Protocol (SIP) based services. The company\'s products include Hipsip, a SIP service for mobile phone users in the United States and internationally.","""Session initiation service"" ""broadband connection"" ""personalized phone number"" ""telephone network"""
"Unistar field of Science and Technology Co.","Operator of an online platform for stock photo transactions. The company offers various categories of images through a stock image marketplace in China.","""photo transaction"" ""stock image"" ""image marketplace"" images"
"Cartavi","Provider of cloud based document sharing platform. The company\'s platform allows everyone involved in a real estate transaction to securely manage and share documents from any computer, tablet or smartphone.","""document sharing"" ""real estate document"" ""real estate transaction"" ""mobile real estate"""
"SiCortex","Manufacturer of computers, computing systems, compiler suites, and personal development systems. The company also offers desk side, departmental, and data center packages. It serves universities, academic institutions, research laboratories, and government agencies in the United States.","""computing system"" ""compiler suite"" ""development system"""
"Octalica","Developer of integrated chipset for high speed home multimedia networking over existing coax infrastructure. The chipset developed by the company enables sharing high-definition multimedia entertainment services across homes, bundled with data and voice communications.","chipset ""coax infrastructure"" ""multimedia entertainment"""
"Ziftr","Provider of a consumer shopping price engine. The company provides a browser that gives comparative price information to the customers for the products they are shopping online.","""shopping price engine"" ""online shopping"" ""price information"" ""price engine"""
"NextEngine","Provider of desktop 3D scanners. The company offers ScanStudio Core, a scanning and modeling software that enables to make 3d scans and assemble digital models.","ScanStudio ""3D scanners"" desktop"
"Aratana Therapeutics","Developer of biopharmaceutical technology for animals. The company develops proprietary, patent-protected compounds acquired from human pharmaceutical and biotechnology companies and then develops strategies to maximize the value of the programs for the animal health market.","""animal health"" ""animal care"" ""pet care"" ""animal medicine"""
"Tactilize","Provider of an online blogging platform. The company develops self-publishing service for Apple’s iPad and iPad mini tablets.","""online blog"" ""blogging platform"" ""iPad blog"" ""blog publishing"""
"Agamit Medical","Developer of devices for patients suffering from mitral regurgitation. The company\'s devices mechanically modify the Mitral valve geometry in order to cause it to function without the regurgitation.","""mitral valve"" ""valve regurgitation"" ""valve geometry"""
"Mobile Commons","Provider of a platform to create and manage mobile marketing campaigns. The company provides tools to reach people on mobile phones. It provides web based tools that provide functionalities like integrating mobile messaging into campaign strategy and website.","""mobile marketing"" ""mobile messaging"" ""web based platform"""
"Scrittura","Manufacturer of software targeting the financial services markets. The company provides document management, confirmation and straight-through-processing for the OTC derivatives marketplace. Its suite comprises DocGenerator, DocManager and Workflow Manager, as well as configured technology for the automation and management of OTC derivative, legal, corporate trust and HR business processes.","""financial service"" ""document management"" ""derivative marketplace"" ""hr business process"" ""document confirmation"""
"eTree Marketing","Internet retailer of computer and digital products.","""online shopping"" ""internet shopping"" ""digital product"""
"Intel Corporation","Developer and manufacturer of microprocessors and other semiconductor components. The company develops integrated digital technology products, mainly integrated circuits, for industries such as computing and communications.","""integrated digital technology"" ""semiconductor component"" ""technology platform"""
"VoiceObjects","Provider of a phone application server. The company\'s products include VoiceObjects Server, a phone application server that enables carrier-grade deployment and management of over-the-phone voice, video, text and mobile Web self-service applications and VoiceObjects Desktop, a GUI-based application for creating, testing, deploying and monitoring self-service phone portals. It also offers professional services, including consulting, training and technical support services. Its customers include banking and financial services, communication, marketing agencies, industrial, travel and support, healthcare, government, entertainment and info-portals and management service providers in the United States and internationally.","""phone application server"" ""phone portal"" ""phone voice"""
"Metirato","Operator of a social recruiting media. The company provides tools that helps job seekers to upload their profile and employers can find the candidates that match their profile best.","""social recruiting media"" ""job search"" ""recruitment services"""
"HowMark Mobile","Operator a mobile advertising platform for advertisers and publishers. The company provides performance marketing networks for mobile advertising campaigns.","""mobile advertising platform"" ""performance marketing network"" ""mobile advertising campaign"" ""mobile advertising"""
"Finesample Group","Manufacturer of printed circuit boards. The company operates two trading companies Circast Electronics and Cirtron Systems, which involves in manufacture and servicing of printed circuit boards respectively.","""printed circuit boards"" ""circuit boards"" circuit"
